ID,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層,第8階層,第9階層,第10階層,作業名,よみ,|表記|,英名,多義的概念,組合せで作業,目的(ja),目的(en),行為(ja),行為(en),対象(ja),対象(en),副対象(ja),副対象(en),場所(ja),場所(en),手段(ja),手段(en),機資材(ja),機資材(en),生産対象(ja),生産対象(en),時期(ja),時期(en),作業条件(ja),作業条件(en),agrovoc,naropedia,wikipedia
A132,農作業,基本農作業,作物生産作業,作物生育制御作業,生殖成長制御作業,結実制御作業,収穫期調整作業,,,,収穫期調整作業,しゅうかくきちょうせいさぎょう,,Treatment for arrangement of fruit harvest time,,,収穫期調整,arrangement of harvest time,,,,,,,,,,,,,,,,,,,,,
A133,農作業,基本農作業,作物生産作業,作物生育制御作業,生殖成長制御作業,結実制御作業,落果防止作業,,,,落果防止作業,らっかぼうしさぎょう,,Treatment for inhibiting fruit drop,,,落果防止,inhibition of fruit drop,,,,,,,,,,,,,,,,,,,,,
A292,農作業,基本農作業,作物生産作業,作物収穫調製作業,,,,,,,作物収穫調製作業,さくもつしゅうかくちょうせいさぎょう,|作物収穫調製;しゅうかくちょうせい|,Practice for harvesting and processing crop,,,作物収穫調製,harvesting and processing crop,,,,,,,,,,,,,,,,,,,,,
A293,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,,,,,,収穫作業,しゅうかくさぎょう,|収穫;しゅうかく|,Practice for harvesting,,,収穫,harvest,,,,,,,,,,,,,,,,,,,c_3500,http://lib.ruralnet.or.jp/nrpd/#box_search=%E5%8F%8E%E7%A9%AB%E4%BD%9C%E6%A5%AD&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=12298&db=&uid=0,収穫
A294,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,刈取り,,,,,刈取り,かりとり,|刈り取り;かりとり|刈取;かりとり|,Reaping,,,収穫,harvest,刈り取る,reap,,,,,,,,,,,,,,,,,,,
A295,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,刈取り,稲刈り,,,,稲刈り,いねかり,,Rice reaping,,,収穫,harvest,刈り取る,reap,,,,,,,,,,,イネ,rice|rice plant,,,,,,,稲刈り
A296,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,刈取り,麦刈り,,,,麦刈り,むぎかり,,Harvesting wheat,,,収穫,harvest,刈り取る,reap,,,,,,,,,,,コムギ|オオムギ|ライムギ|エンバク|ライコムギ,,,,,,,,
A297,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,刈取り,コンバイン収穫,,,,コンバイン収穫,こんばいんしゅうかく,|コンパイン刈取り;こんばいんかりとり|コンバイン刈り取り;こんばいんかりとり|コンバイン作業;こんばいんさぎょう|,Combined harvest,脱穀,,収穫,harvest,刈り取る,reap,,,,,,,,,コンバイン,combine harvester,,,,,,,,,
A298,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,刈取り,バインダ収穫,,,,バインダ収穫,ばいんだしゅうかく, ,Rice harvesting by binder and reaper,結束,,収穫,harvest,刈り取る,reap,,,,,,,,,バインダ,binder and reaper,,,,,,,,,
A299,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,刈取り,手刈り,,,,手刈り,てがり,,Hand cutting,,,収穫,harvest,刈り取る,reap,,,,,,,,,鎌,sickle,,,,,,,,,
A300,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,掘取り,,,,,掘取り,ほりとり,,Digging,,,収穫,harvest,掘る,dig,,,,,,,,,,,根菜,root vegetables,,,,,,,
A301,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,摘取り,,,,,摘取り,つみとり,,Picking,,,収穫,harvest,摘む,pick,,,,,,,,,,,,,,,,,,,
A302,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,摘採,,,,,摘採,てきさい,,Tea picking,,,収穫,harvest,摘む,pick,,,,,,,,,,,茶,tea,,,,,,,
A303,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,収穫準備作業,,,,,収穫準備作業,しゅうかくじゅんびさぎょう,,Work in preparation for harvest,,,収穫準備,preparation for harvest,,,,,,,,,,,,,,,,,,,,,
A304,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,収穫準備作業,収穫前茎葉除去,,,,収穫前茎葉除去,しゅうかくまえけいようじょきょ,,Removal of haulm prior to harvesting,,,収穫準備,preparation for harvest,除去する,remove,茎葉,foliage,,,,,,,,,ジャガイモ|タマネギ,,,,,,,,
A305,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,収穫物集約作業,,,,,収穫物集約作業,しゅうかくぶつしゅうやくさぎょう,,Practice for gathering harvest,,,収穫物集約,gathering the harvest,,,収穫物,harvests,,,,,,,,,,,,,,,,,
A306,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,収穫物集約作業,収穫物結束,,,,収穫物結束,しゅうかくぶつけっそく,,Binding harvest,,,収穫物集約,gathering the harvest,束ねる,bind,収穫物,harvests,,,,,,,,,,,,,,,,,
A307,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,収穫物集約作業,ワラ収集,,,,ワラ収集,わらしゅうしゅう,|藁収集;わらしゅうしゅう|,Collecting rice straw,,,収穫物集約,gathering the harvest,集める,collect,ワラ,straw,,,,,,,,,,,,,,,,,
A483,農作業,基本農作業,作物生産作業,作物収穫調製作業,収穫作業,収穫物集約作業,飼料作物集草,,,,飼料作物集草,しりょうさくもつちょうせいさぎょう,,Practice for processing forage crops,,,収穫物集約,gathering the harvest,集める,collect,収穫物,harvests,,,,,,,,,飼料作物,forage crops,,,,,,,
A309,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,,,,,,規格適合化作業,きかくてきごうかさぎょう,,Practice for adjustment to a standard,,,規格適合化,adjustment to a standard,,,,,,,,,,,,,,,,,収穫後,,,,
A310,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,,,,,出荷調製作業,しゅっかちょうせいさぎょう,|出荷調製;しゅっかちょうせい|,Treatment for shipment adjustment,,,出荷調製,processing for shipping,,,,,,,,,,,,,,,,,,,,,
A311,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,もみすり,,,,もみすり,もみすり,|脱ぷ;だっぷ|籾摺り;もみすり|籾擦;もみすり|籾すり;もみすり|,Hulling,,,出荷調製,processing for shipping,除去する,remove,もみ殻,hull,,,,,,,,,,,,,,,c_3699,http://lib.ruralnet.or.jp/nrpd/#box_search=%E3%82%82%E3%81%BF%E3%81%99%E3%82%8A&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=15220&db=&uid=0,
A312,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,外葉除去,,,,外葉除去,がいようじょきょ,,Removing outer leaf,,,出荷調製,processing for shipping,除去する,remove,外葉,outer leaf,,,,,,,,,,,,,,,,,
A313,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,脱穀,,,,脱穀,だっこく,,Threshing,,,出荷調製,processing for shipping,分離する,separate,子実,grains,,,,,,,,,,,,,,,c_7739,,脱穀
A314,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,切り枝,,,,切り枝,きりえだ,,Cutting branches,,,出荷調製,processing for shipping,切る,cut,枝,branch,,,,,,,,,,,,,,,,,
A315,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,精米,,,,精米,せいまい,|搗精;とうせい|,Rice milling,,,出荷調製,processing for shipping,除去する,remove,糠,bran layer,,,,,,,,,,,,,,,,http://lib.ruralnet.or.jp/nrpd/#box_search=%E7%B2%BE%E7%B1%B3&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=12873&db=&uid=0,精米
A316,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,汚れ除去,,,,汚れ除去,よごれじょきょ,,Removal of dirt,,,出荷調製,processing for shipping,除去する,remove,汚れ,dirt,,,,,,,,,,,,,,,,,
A317,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,除袋,,,,除袋,じょたい,|袋はぎ;ふくろはぎ|,Removal of bag,品質制御作業,,出荷調製,processing for shipping,除去する,remove,袋,bag,,,,,,,,,,,,,,,,,
A318,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,下葉落とし,,,,下葉落とし,したばおとし,,Removal of lower leaf,,,出荷調製,processing for shipping,除去する,remove,下葉,lower leaf,,,,,,,,,,,,,,,,,
A319,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,収穫物水洗い,,,,収穫物水洗い,しゅうかくぶつみずあらい,,Washing harvest in water,,,出荷調製,processing for shipping,洗う,wash,収穫物,harvests,,,,,水,water,,,,,,,,,,,
A320,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,収穫物茎葉切除,,,,収穫物茎葉切除,しゅうかくぶつけいようせつじょ,,Cutting foliage,,,出荷調製,processing for shipping,切る,cut,茎葉,foliage,,,,,,,,,,,,,,,,,
A321,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,収穫物根切り,,,,収穫物根切り,しゅうかくぶつねきり,,Cutting root,,,出荷調製,processing for shipping,切る,cut,根,root,,,,,,,,,,,,,,,,,
A322,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,出荷調製作業,不良品除去,,,,不良品除去,ふりょうひんじょきょ,,Removal of inferior product,,,出荷調製,processing for shipping,除去する,remove,不良品,inferior product,,,,,,,,,,,,,,,,,
A484,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,,,,,,飼料作物調製作業,しりょうさくもつちょうせいさぎょう,,Practice for processing forage crops,,,飼料作物調製,Processing forage crops,,,,,,,,,,,,,飼料,feed,,,,,,,
A485,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,飼料作物細断,,,,,飼料作物細断,しりょうさくもつさいだん,,Chopping forage crops,,,飼料作物調製,Processing forage crops,細断する,chop,飼料作物,forage crops,,,,,,,,,飼料,feed,,,,,,,
A486,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,飼料作物乾燥,,,,,飼料作物乾燥,しりょうさくもつかんそうちょうせい,,Drying forage crops,,,飼料作物調製,Processing forage crops,乾燥させる,dry,飼料作物,forage crops,,,,,,,,,飼料,feed,,,,,,,
A487,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,飼料作物反転,,,,,飼料作物反転,しりょうさくもつはんてん,,Turning over forage crops,,,飼料作物調製,Processing forage crops,反転する,turn,飼料作物,forage crops,,,,,,,,,飼料,feed,,,,,,,
A308,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,飼料作物梱包,,,,,飼料作物梱包,しりょうさくもつこんぽう,,Baling forage crops,,,飼料作物調製,Processing forage crops,圧縮成形する,compress and mold,飼料作物,forage crops,,,,,,,,,飼料,feed,,,,,,,
A488,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,飼料作物梱包,乾草用飼料作物梱包,,,,乾草用飼料作物梱包,かんそうようしりょうさくもつこんぽう,,Baling forage crops for hay,,,飼料作物調製,Processing forage crops,圧縮成形する,compress and mold,飼料作物,forage crops,,,,,,,,,乾草,hay,,,,,,,
A489,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,飼料作物梱包,サイレージ用飼料作物梱包,,,,サイレージ用飼料作物梱包,さいれーじようしりょうさくもつこんぽう,,Baling forage crops for silage,,,飼料作物調製,Processing forage crops,圧縮成形する,compress and mold,乾草用飼料作物,forage crops for hay,,,,,,,,,サイレージ,silage,,,,,,,
A490,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,サイレージ調製作業,,,,,サイレージ調製作業,さいれーじちょうせいさぎょう,,Silage making,,,飼料作物調製,Processing forage crops,発酵させる,ferment,サイレージ用飼料作物,forage crops for silage,,,,,,,,,サイレージ,silage,,,,,,,
A491,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,サイレージ調製作業,サイロ詰め,,,,サイロ詰め,さいろづめ,,Filling a silo with forage crops,,,飼料作物調製,Processing forage crops,詰め込む,stuff,飼料作物,forage crops,,,サイロ,silo,,,,,サイレージ,silage,,,,,,,
A332,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,サイレージ調製作業,密封,,,,密封,みっぷう,|飼料作物密封;しりょうさくもつみっぷう|,Sealing forage,,,飼料作物調製,Processing forage crops,密封する,seal up,飼料作物,forage crops,,,,,,,,,サイレージ,silage,,,,,,,
A492,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,サイレージ調製作業,密封,飼料作物ラッピング,,,飼料作物ラッピング,しりょうさくもつらっぴんぐ,,"Wrapping a round roll bail with plastic film
",,,飼料作物調製,Processing forage crops,密封する,seal up,飼料作物,forage crops,,,,,,,プラスチックフィルム,plastic film,サイレージ,silage,,,,,,,
A493,農作業,基本農作業,作物生産作業,作物収穫調製作業,飼料作物調製作業,サイレージ調製作業,密封,サイロ密封,,,サイロ密封,さいろみっぷう,,Sealing forage in silo,,,飼料作物調製,Processing forage crops,密封する,seal up,飼料作物,forage crops,,,サイロ,silo,,,,,サイレージ,silage,,,,,,,
A323,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,,,,,選別作業,せんべつさぎょう,|選別;せんべつ|,Practice for selection,,,選別,selecting,,,収穫物,harvests,,,,,,,,,,,,,,,c_3341,,
A324,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,選粒,,,,選粒,せんりゅう,,Grading grains or beans,,,選別,selecting,選ぶ,select,子実,grains,,,,,,,,,,,,,,,,,
A325,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,選果,,,,選果,せんか,,Fruit grading,,,選別,selecting,選ぶ,select,果実,fruit,,,,,,,,,,,,,,,,,
A326,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,階級選別,,,,階級選別,かいきゅうせんべつ,,Dividing to classes by size,,,選別,selecting,分ける,divide,収穫物,harvests,,,,,,,,,,,,,大きさ,,,,
A327,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,等級選別,,,,等級選別,とうきゅうせんべつ,,Dividing to grades by quality,,,選別,selecting,分ける,divide,収穫物,harvests,,,,,,,,,,,,,品質,,,,
A328,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,等級選別,糖度選別,,,糖度選別,とうどせんべつ,,Fruit grading by predicted brix value,,,選別,selecting,分ける,divide,収穫物,harvests,,,,,,,,,,,,,糖度,,,,
A329,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,選別作業,等級選別,カラー選別,,,カラー選別,からーせんべつ,|色彩選別;しきさいせんべつ|色選別;いろせんべつ|,Dividing to grades by color,,,選別,selecting,分ける,divide,収穫物,harvests,,,,,,,,,,,,,色,,,,
A330,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,追熟作業,,,,,追熟作業,ついじゅくさぎょう,,Afterripening,,,規格適合化,adjustment to a standard,成熟させる,ripen,収穫物,harvests,,,,,,,,,,,,,,,,,
A331,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,追熟作業,エチレン処理による追熟作業,,,,エチレン処理による追熟作業,えちれんしょりによるついじゅくさぎょう,|エチレン処理;えちれんしょり|,Afterripening by ethylene,,,規格適合化,adjustment to a standard,成熟させる,ripen,収穫物,harvests,,,,,エチレン,ethylene,,,,,,,,,,,
A333,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,脱渋作業,,,,,脱渋作業,だつじゅうさぎょう,,Removal of astringency,,,規格適合化,adjustment to a standard,除去する,remove,渋味,astringency,,,,,,,,,カキ,Japanese persimmon|kaki|oriental persimmon,,,,,,,
A334,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,脱渋作業,化学的手段による脱渋作業,,,,化学的手段による脱渋作業,かがくてきしゅだんによるだつじゅうさぎょう,,Removal of astringency by chemical means,,,規格適合化,adjustment to a standard,除去する,remove,渋味,astringency,,,,,化学的手段,chemical means,,,カキ,Japanese persimmon|kaki|oriental persimmon,,,,,,,
A335,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,計量作業,,,,,計量作業,けいりょうさぎょう,|計量;けいりょう|,Practice for measuring harvest,,,規格適合化,adjustment to a standard,計量する,measure,収穫物,harvests,,,,,,,,,,,,,,,,,
A336,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,貯蔵予措,,,,,貯蔵予措,ちょぞうよそ,|予措;よそ|,Pretreatment for storage,,,腐敗防止,reduction of crop spoilage,,,収穫物,harvests,,,,,,,,,野菜|果樹,,,,貯蔵前|出荷前,,,,
A337,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,貯蔵予措,乾燥予措,,,,乾燥予措,かんそうよそ,|乾燥調製;かんそうちょうせい|予措乾燥;よそかんそう|,Pretreatment drying,,,腐敗防止,reduction of crop spoilage,乾燥させる,dry,収穫物,harvests,,,,,,,,,,,,,貯蔵前|出荷前,,,,
A338,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,貯蔵予措,乾燥予措,キュアリング,,,キュアリング,きゅありんぐ,,Curing,高温予措,,腐敗防止,reduction of crop spoilage,乾燥させる,dry,傷,wound,,,,,,,,,根菜,root vegetables,,,貯蔵前|出荷前,,,,
A339,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,貯蔵予措,高温予措,,,,高温予措,こうおんよそ,|着色予措;ちゃくしょくよそ|,High temperature pretreatment,,,腐敗防止,reduction of crop spoilage,晒す,exposure,収穫物,harvests,,,,,高温,high temperature,,,,,,,貯蔵前|出荷前,,,,
A340,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,子実乾燥,,,,,子実乾燥,しじつかんそう,,Drying grains or beans,,,規格適合化,adjustment to a standard,乾燥させる,dry,子実,grains,,,,,,,,,イネ|コムギ|オオムギ|エンバク|ライムギ|ライコムギ|ダイズ,,,,,,,,
A341,農作業,基本農作業,作物生産作業,作物収穫調製作業,規格適合化作業,子実乾燥,稲架け,,,,稲架け,いなかけ,|はざ干し;はざほし|稲木干し;いなぎほし|稲架干し;いなかけほし|,Drying rice on paddy sheaf rack,,,規格適合化,adjustment to a standard,乾燥させる,dry,子実,grains,稲架,sheaf rack,,,,,,,イネ,rice|rice plant,,,,,,,
A342,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,,,,,,鮮度保持作業,せんどほじさぎょう,|鮮度保持;せんどほじ|,Practice for freshness retention,,,鮮度保持,extending shelf-life,,,収穫物,harvests,,,,,,,,,,,,,,,,,
A343,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,低温による鮮度保持作業,,,,,低温による鮮度保持作業,ていおんによるせんどほじさぎょう,,Freshness retention by low temperature,,,鮮度保持,extending shelf-life,,,収穫物,harvests,,,,,低温,low temperature,,,,,,,,,,,
A344,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,低温による鮮度保持作業,低温貯蔵,,,,低温貯蔵,ていおんちょぞう,,Low temperature storage,,,鮮度保持,extending shelf-life,貯蔵する,store,収穫物,harvests,,,,,低温,low temperature,,,,,,,,,c_6484,http://lib.ruralnet.or.jp/nrpd/#box_search=%E4%BD%8E%E6%B8%A9%E8%B2%AF%E8%94%B5&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=13555&db=&uid=0,
A345,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,低温による鮮度保持作業,予冷,,,,予冷,よれい,,Precooling,,,鮮度保持,extending shelf-life,貯蔵する,store,収穫物,harvests,,,,,低温,low temperature,,,,,,,貯蔵前|出荷前,,c_36844,http://lib.ruralnet.or.jp/nrpd/#box_search=%E4%BA%88%E5%86%B7&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=15420&db=&uid=0,
A346,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,ガス環境による鮮度保持作業,,,,,ガス環境による鮮度保持作業,がすかんきょうによるせんどほじさぎょう,,Freshness retention by gas environment,,,鮮度保持,extending shelf-life,貯蔵する,store,収穫物,harvests,,,,,ガス環境制御,gas environment regulation,,,,,,,,,,,
A347,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,ガス環境による鮮度保持作業,CA貯蔵,,,,CA貯蔵,しーえーちょぞう,,Controlled atmosphere storage,,,鮮度保持,extending shelf-life,貯蔵する,store,収穫物,harvests,,,,,空気組成制御,atmosphere control,,,,,,,,,c_1842,http://lib.ruralnet.or.jp/nrpd/#box_search=CA%E8%B2%AF%E8%94%B5&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=12106&db=&uid=0,
A348,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,ガス環境による鮮度保持作業,MA貯蔵,,,,MA貯蔵,えむえーちょぞう,,Modified atmosphere storage,,,鮮度保持,extending shelf-life,貯蔵する,store,収穫物,harvests,,,,,空気組成調整,atmosphere modification,,,,,,,,,,http://lib.ruralnet.or.jp/nrpd/#box_search=MA%E8%B2%AF%E8%94%B5&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=10574&db=&uid=0,
A349,農作業,基本農作業,作物生産作業,作物収穫調製作業,鮮度保持作業,化学的手段による鮮度保持作業,,,,,化学的手段による鮮度保持作業,かがくてきしゅだんによるせんどほじさぎょう,,Freshness retention by chemical means,,,鮮度保持,extending shelf-life,貯蔵する,store,収穫物,harvests,,,,,化学的手段,chemical means,,,,,,,,,,,
A350,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,,,,,,輸送準備作業,ゆそうじゅんびさぎょう,|輸送準備;ゆそうじゅんび|,Work in preparation for shipping,,,輸送準備,preparation for shipping,,,商品,product,,,,,,,,,,,,,,,,,
A351,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,保管,,,,,保管,ほかん,,Keeping products in stock,,,輸送準備,preparation for shipping,保管する,keep,商品,product,,,,,,,,,,,,,,,,,
A352,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,保管,配付け,,,,配付け,はいつけ,,Piling up products in the warehouse,,,輸送準備,preparation for shipping,積みあげる,pile up,商品,product,倉庫,warehouse,,,,,,,,,,,,,,,
A353,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,梱包,,,,,梱包,こんぽう,,Packing,,出荷作業,輸送準備,preparation for shipping,梱包する,bale,商品,product,,,,,,,,,,,,,,,,,
A354,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,梱包,商品結束,,,,商品結束,しょうひんけっそく,,Binding,,,輸送準備,preparation for shipping,結束する,bind,商品,product,,,,,,,,,,,,,,,,,
A355,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,梱包,包装,,,,包装,ほうそう,|ラッピング;らっぴんぐ|包装作業;ほうそうさぎょう|,Wrapping,,,輸送準備,preparation for shipping,包む,wrap,商品,product,,,,,,,,,,,,,,,,,
A356,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,梱包,包装,袋詰め,,,袋詰め,ふくろづめ,|袋づめ;ふくろづめ|,Bagging,,,輸送準備,preparation for shipping,包む,wrap,商品,product,袋,bag,,,,,,,,,,,,,c_24551,,
A357,農作業,基本農作業,作物生産作業,作物収穫調製作業,輸送準備作業,梱包,箱詰め,,,,箱詰め,はこづめ,|箱づめ;はこづめ|,Box filling,,,輸送準備,preparation for shipping,詰める,fill,商品,product,箱,box,,,,,,,,,,,,,,,
A494,農作業,基本農作業,畜産物生産作業,,,,,,,,畜産物生産作業,ちくさんぶつせいさんさぎょう,,Works for livestock production,,,畜産物生産,stock farm production,,,,,,,,,,,,,畜産物,stock farm production,,,,,,,
A495,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,,,,,,,家畜飼養管理作業,かちくしようかんりさぎょう,,Practice for Livestock management ,,,家畜飼養管理,livestock management,,,,,,,,,,,,,畜産物,stock farm production,,,,,,,
A496,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,給餌,,,,,,給餌,きゅうじ,|飼料給与;しりょうきゅうよ|,Feeding,,,家畜飼養管理,livestock management,与える,supply,飼料,feed,家畜,livestock,,,,,,,畜産物,stock farm production,,,,,,,
A497,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜給水,,,,,,家畜給水,かちくきゅうすい,,Water supply to livestock,,,家畜飼養管理,livestock management,与える,supply,水,water,家畜,livestock,,,,,,,畜産物,stock farm production,,,,,,,
A498,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,去勢,,,,,,去勢,きょせい,,Castration,,,家畜飼養管理,livestock management,去勢する,castrate,雄牛,bulls,,,,,,,,,畜産物,stock farm production,,,,,,,
A499,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜繁殖制御作業,,,,,,家畜繁殖制御作業,かちくはんしょくせいぎょさぎょう,,Regulation of livestock propagation,,,家畜繁殖制御,regulation of livestock propagation,,,,,,,,,,,,,畜産物,stock farm production,,,,,,,
A500,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜繁殖制御作業,人工授精,,,,,人工授精,じんこうじゅせい,,Artifcial insemination,,,家畜繁殖制御,regulation of livestock propagation,人工授精する,artificial insemination,雌牛,heifers,,,,,,,,,畜産物,stock farm production,,,,,,,
A501,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜繁殖制御作業,種付け,,,,,種付け,たねつけ,|種付;たねつけ|,Mating,,,家畜繁殖制御,regulation of livestock propagation,種付けする,"coitus,copulation,service",雌牛,heifers,,,,,,,,,畜産物,stock farm production,,,,,,,
A502,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜繁殖制御作業,助産,,,,,助産,じょさん,,Assisting the birth,,,家畜繁殖制御,regulation of livestock propagation,助ける,assist,出産,birth,,,,,,,,,畜産物,stock farm production,,,,,,,
A503,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜健康維持作業,,,,,,家畜健康維持作業,かちくけんこういじさぎょう,,Practice for maintainig livestock health,,,家畜健康維持,maintainig livestock health,,,,,,,,,,,,,畜産物,stock farm production,,,,,,,
A504,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜健康維持作業,削蹄,,,,,削蹄,さくてい,,Hoof cutting,,,家畜健康維持,maintainig livestock health,削る,trim,蹄,hoot,,,,,,,,,畜産物,stock farm production,,,,,,,
A505,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜健康維持作業,除角,,,,,除角,じょかく,,Dehorning,,,家畜健康維持,maintainig livestock health,除去する,remove,角,horn,,,,,,,,,畜産物,stock farm production,,,,,,,
A506,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜健康維持作業,体洗い,,,,,体洗い,からだあらい,,Washing body of livestock,,,家畜健康維持,maintainig livestock health,洗う,wash,体,body,,,,,,,,,畜産物,stock farm production,,,,,,,
A507,農作業,基本農作業,畜産物生産作業,家畜飼養管理作業,家畜健康維持作業,ブラッシング,,,,,ブラッシング,ぶらっしんぐ,,Brushing for livestock,,,家畜健康維持,maintainig livestock health,ブラッシングする,brush,体,body,,,,,,,,,畜産物,stock farm production,,,,,,,
